Date,Price,Open,High,Low,Vol.,Change %
9/22/2014,8768.90,8832.50,8896.00,8768.90,466.50K,-0.72%
9/23/2014,8768.90,8768.90,8832.50,8705.40,354.21K,0.00%
9/24/2014,8705.40,8768.90,8832.50,8705.40,271.46K,-0.72%
9/25/2014,8832.50,8768.90,8896.00,8705.40,441.59K,1.46%
9/26/2014,8768.90,8832.50,8896.00,8768.90,128.68K,-0.72%
9/29/2014,8832.50,8768.90,8896.00,8768.90,484.60K,0.73%
9/30/2014,8768.90,8832.50,8832.50,8705.40,303.54K,-0.72%
10/1/2014,8768.90,8768.90,8832.50,8768.90,330.28K,0.00%
10/2/2014,8832.50,8768.90,8832.50,8768.90,451.78K,0.73%
10/3/2014,8832.50,8832.50,8896.00,8768.90,143.27K,0.00%
10/6/2014,8832.50,8832.50,8832.50,8768.90,380.02K,0.00%
10/7/2014,8768.90,8832.50,8832.50,8768.90,340.04K,-0.72%
10/8/2014,8705.40,8768.90,8768.90,8641.80,881.41K,-0.72%
10/9/2014,8705.40,8705.40,8768.90,8641.80,570.71K,0.00%
10/10/2014,8641.80,8705.40,8705.40,8641.80,557.79K,-0.73%
10/13/2014,8578.30,8705.40,8705.40,8514.70,398.35K,-0.73%
10/14/2014,8451.20,8641.80,8641.80,8451.20,339.60K,-1.48%
10/15/2014,8451.20,8451.20,8514.70,8387.70,358.98K,0.00%
10/16/2014,8324.10,8451.20,8514.70,8324.10,291.84K,-1.50%
10/17/2014,8324.10,8324.10,8387.70,8197.00,545.59K,0.00%
10/20/2014,8387.70,8387.70,8387.70,8260.60,132.85K,0.76%
10/21/2014,8387.70,8324.10,8387.70,8324.10,204.80K,0.00%
10/22/2014,8387.70,8387.70,8451.20,8324.10,210.45K,0.00%
10/23/2014,8324.10,8387.70,8387.70,8260.60,410.17K,-0.76%
10/24/2014,8260.60,8260.60,8387.70,8260.60,167.92K,-0.76%
10/27/2014,8006.40,8197.00,8260.60,8006.40,465.83K,-3.08%
10/28/2014,8069.90,8006.40,8069.90,8006.40,394.65K,0.79%
10/29/2014,8133.50,8069.90,8197.00,8069.90,249.09K,0.79%
10/30/2014,8133.50,8197.00,8197.00,8069.90,91.77K,0.00%
10/31/2014,8578.30,8133.50,8578.30,8069.90,490.76K,5.47%
11/3/2014,8387.70,8514.70,8578.30,8387.70,551.89K,-2.22%
11/4/2014,8260.60,8387.70,8387.70,8260.60,143.59K,-1.52%
11/5/2014,8197.00,8260.60,8324.10,8197.00,175.62K,-0.77%
11/6/2014,8324.10,8260.60,8387.70,8260.60,312.61K,1.55%
11/7/2014,8324.10,8324.10,8387.70,8260.60,195.09K,0.00%
11/10/2014,8324.10,8324.10,8387.70,8324.10,149.42K,0.00%
11/11/2014,8260.60,8324.10,8387.70,8260.60,153.05K,-0.76%
11/12/2014,8260.60,8324.10,8324.10,8260.60,163.40K,0.00%
11/13/2014,8387.70,8324.10,8387.70,8260.60,183.52K,1.54%
11/14/2014,8260.60,8387.70,8387.70,8260.60,294.52K,-1.52%
11/17/2014,8387.70,8387.70,8387.70,8260.60,339.83K,1.54%
11/18/2014,8324.10,8260.60,8387.70,8260.60,321.59K,-0.76%
11/19/2014,8324.10,8260.60,8324.10,8260.60,137.12K,0.00%
11/20/2014,8260.60,8324.10,8324.10,8260.60,184.65K,-0.76%
11/21/2014,8260.60,8260.60,8324.10,8260.60,457.44K,0.00%
11/24/2014,8197.00,8260.60,8260.60,8133.50,267.22K,-0.77%
11/25/2014,8197.00,8197.00,8260.60,8197.00,198.77K,0.00%
11/26/2014,8133.50,8197.00,8260.60,8133.50,360.89K,-0.77%
11/27/2014,8069.90,8133.50,8133.50,8006.40,476.46K,-0.78%
11/28/2014,8069.90,8069.90,8133.50,8069.90,248.32K,0.00%
12/1/2014,8197.00,8069.90,8197.00,8069.90,128.39K,1.57%
12/2/2014,8324.10,8197.00,8324.10,8069.90,652.56K,1.55%
12/3/2014,8324.10,8260.60,8324.10,8197.00,281.12K,0.00%
12/4/2014,8451.20,8324.10,8641.80,8260.60,1.06M,1.53%
12/5/2014,8514.70,8451.20,8578.30,8387.70,571.42K,0.75%
12/8/2014,8387.70,8514.70,8514.70,8387.70,290.64K,-1.49%
12/9/2014,8197.00,8387.70,8387.70,8133.50,564.28K,-2.27%
12/10/2014,8260.60,8197.00,8387.70,8069.90,603.87K,0.78%
12/11/2014,8324.10,8260.60,8387.70,8197.00,408.80K,0.77%
12/12/2014,8324.10,8324.10,8451.20,8324.10,248.55K,0.00%
12/15/2014,8324.10,8324.10,8387.70,8324.10,163.40K,0.00%
12/16/2014,8197.00,8260.60,8324.10,8197.00,260.62K,-1.53%
12/17/2014,8069.90,8133.50,8260.60,7942.90,492.07K,-1.55%
12/18/2014,8197.00,8133.50,8197.00,8069.90,95.27K,1.57%
12/19/2014,8197.00,8197.00,8260.60,8069.90,67.71K,0.00%
12/22/2014,8324.10,8197.00,8387.70,8197.00,479.86K,1.55%
12/23/2014,8324.10,8324.10,8387.70,8260.60,193.33K,0.00%
12/24/2014,8260.60,8260.60,8324.10,8197.00,121.94K,-0.76%
12/25/2014,8260.60,8197.00,8260.60,8133.50,135.25K,0.00%
12/26/2014,8133.50,8260.60,8260.60,8133.50,110.82K,-1.54%
12/29/2014,8069.90,8197.00,8260.60,8069.90,113.73K,-0.78%
12/30/2014,8197.00,8069.90,8197.00,8069.90,169.06K,1.57%
12/31/2014,8069.90,8197.00,8324.10,8069.90,281.91K,-1.55%
1/5/2015,8197.00,8197.00,8260.60,8197.00,87.40K,1.57%
1/6/2015,8387.70,8133.50,8451.20,8133.50,530.81K,2.33%
1/7/2015,8641.80,8387.70,8641.80,8324.10,1.09M,3.03%
1/8/2015,8641.80,8641.80,8768.90,8514.70,1.05M,0.00%
1/9/2015,9213.70,8641.80,9213.70,8641.80,4.33M,6.62%
1/12/2015,9849.20,9531.40,9849.20,9467.90,4.62M,6.90%
1/13/2015,10421.00,9912.70,10484.60,9912.70,5.58M,5.81%
1/14/2015,10357.50,10294.00,10738.80,10103.30,4.77M,-0.61%
1/15/2015,10421.00,10357.50,10738.80,10357.50,5.08M,0.61%
1/16/2015,10294.00,10484.60,10611.70,10294.00,2.97M,-1.22%
1/19/2015,10421.00,10484.60,10675.20,10294.00,4.24M,1.23%
1/20/2015,10294.00,10357.50,10421.00,10166.90,1.93M,-1.22%
1/21/2015,9976.20,10294.00,10357.50,9976.20,2.27M,-3.09%
1/22/2015,10611.70,9976.20,10611.70,9785.60,6.47M,6.37%
1/23/2015,11056.50,10929.40,11247.10,10865.80,7.49M,4.19%
1/26/2015,11056.50,11056.50,11183.60,10929.40,3.69M,0.00%
1/27/2015,11056.50,10992.90,11437.70,10865.80,8.30M,0.00%
1/28/2015,11819.00,11056.50,11819.00,11056.50,10.09M,6.90%
1/29/2015,11564.80,11755.40,11946.10,11374.20,5.91M,-2.15%
1/30/2015,11120.00,11437.70,11501.30,11056.50,5.56M,-3.85%
2/2/2015,10929.40,11056.50,11247.10,10929.40,3.18M,-1.71%
2/3/2015,10166.90,11120.00,11120.00,10166.90,6.26M,-6.98%
2/4/2015,9976.20,9976.20,10103.30,9595.00,6.00M,-1.88%
2/5/2015,10421.00,10039.80,10484.60,10039.80,2.49M,4.46%
2/6/2015,11056.50,10484.60,11056.50,10357.50,3.58M,6.10%
2/9/2015,10992.90,10929.40,11247.10,10865.80,5.98M,-0.58%
2/10/2015,11374.20,11310.60,11501.30,11183.60,4.85M,3.47%
2/11/2015,11501.30,11310.60,11564.80,11247.10,2.75M,1.12%
2/12/2015,11310.60,11501.30,11564.80,11120.00,3.53M,-1.66%
2/13/2015,11310.60,11310.60,11501.30,11120.00,2.95M,0.00%
2/24/2015,11755.40,11501.30,11819.00,11437.70,3.43M,3.93%
2/25/2015,11755.40,11946.10,12200.20,11691.90,9.01M,0.00%
2/26/2015,12009.60,11755.40,12073.20,11755.40,2.99M,2.16%
2/27/2015,11819.00,12009.60,12136.70,11755.40,2.72M,-1.59%
3/2/2015,11755.40,11691.90,11882.50,11628.40,3.06M,-0.54%
3/3/2015,11819.00,11755.40,11946.10,11755.40,2.73M,0.54%
3/4/2015,11819.00,11819.00,11882.50,11628.40,4.16M,0.00%
3/5/2015,11501.30,11819.00,11882.50,11501.30,3.70M,-2.69%
3/6/2015,11755.40,11437.70,11882.50,11374.20,4.84M,2.21%
3/9/2015,11501.30,11755.40,11819.00,11437.70,2.21M,-2.16%
3/10/2015,11628.40,11437.70,11691.90,11437.70,2.24M,1.11%
3/11/2015,11628.40,11501.30,11819.00,11501.30,2.41M,0.00%
3/12/2015,11691.90,11628.40,11755.40,11628.40,1.65M,0.55%
3/13/2015,11819.00,11755.40,11946.10,11755.40,3.20M,1.09%
3/16/2015,11628.40,11755.40,11819.00,11628.40,1.85M,-1.61%
3/17/2015,11628.40,11628.40,11755.40,11564.80,1.59M,0.00%
3/18/2015,11437.70,11564.80,11628.40,11374.20,3.29M,-1.64%
3/19/2015,11247.10,11501.30,11564.80,11183.60,2.40M,-1.67%
3/20/2015,11374.20,11183.60,11437.70,11183.60,1.54M,1.13%
3/23/2015,10992.90,11374.20,11501.30,10929.40,2.33M,-3.35%
3/24/2015,10929.40,10865.80,10929.40,10611.70,3.67M,-0.58%
3/25/2015,11056.50,10992.90,11183.60,10865.80,1.45M,1.16%
3/26/2015,11310.60,10929.40,11437.70,10929.40,2.77M,2.30%
3/27/2015,11247.10,11374.20,11437.70,11183.60,1.95M,-0.56%
3/30/2015,10992.90,11247.10,11310.60,10992.90,1.66M,-2.26%
3/31/2015,11183.60,10865.80,11310.60,10865.80,1.54M,1.73%
4/1/2015,10992.90,11183.60,11247.10,10992.90,1.67M,-1.71%
4/2/2015,11374.20,11120.00,11374.20,10992.90,1.67M,3.47%
4/3/2015,11310.60,11374.20,11437.70,11247.10,1.91M,-0.56%
4/6/2015,11310.60,11310.60,11374.20,11247.10,749.92K,0.00%
4/7/2015,11691.90,11247.10,11691.90,11247.10,3.47M,3.37%
4/8/2015,11755.40,11691.90,11819.00,11628.40,1.20M,0.54%
