Date,Price,Open,High,Low,Vol.,Change %
3/14/2014,10318.5,10318.50,10441.30,10318.50,1.19M,0.00%
3/17/2014,10379.9,10379.90,10441.30,10318.50,1.56M,0.60%
3/18/2014,10318.5,10379.90,10441.30,10318.50,1.58M,-0.59%
3/19/2014,10564.1,10379.90,10625.50,10379.90,2.07M,2.38%
3/20/2014,10502.7,10625.50,10687.00,10441.30,1.45M,-0.58%
3/21/2014,10625.5,10564.10,10687.00,10564.10,1.90M,1.17%
3/24/2014,10871.2,10687.00,10871.20,10687.00,3.14M,2.31%
3/25/2014,10809.8,10871.20,10932.60,10748.40,2.90M,-0.56%
3/26/2014,10502.7,10748.40,10809.80,10502.70,2.41M,-2.84%
3/27/2014,10441.3,10502.70,10502.70,10318.50,1.73M,-0.58%
3/28/2014,10502.7,10502.70,10564.10,10379.90,1.03M,0.59%
3/31/2014,10379.9,10502.70,10502.70,10318.50,925.48K,-1.17%
4/1/2014,10195.6,10379.90,10379.90,10195.60,990.36K,-1.78%
4/2/2014,10195.6,10257.00,10318.50,10134.20,1.72M,0.00%
4/3/2014,10318.5,10318.50,10379.90,10195.60,500.49K,1.21%
4/4/2014,10318.5,10379.90,10379.90,10257.00,398.24K,0.00%
4/7/2014,10257,10318.50,10318.50,10195.60,2.69M,-0.60%
4/8/2014,10257,10257.00,10318.50,10257.00,1.07M,0.00%
4/10/2014,10318.5,10257.00,10318.50,10195.60,666.15K,0.60%
4/11/2014,10195.6,10257.00,10257.00,10195.60,841.08K,-1.19%
4/14/2014,10134.2,10257.00,10257.00,10134.20,623.54K,-0.60%
4/15/2014,9949.9,10134.20,10195.60,9949.90,1.18M,-1.82%
4/16/2014,9827.1,9949.90,9949.90,9704.30,1.95M,-1.23%
4/17/2014,9888.5,9827.10,10011.40,9827.10,706.04K,0.62%
4/18/2014,9704.3,9949.90,9949.90,9704.30,750.36K,-1.86%
4/21/2014,9581.4,9765.70,9765.70,9581.40,991.31K,-1.27%
4/22/2014,9827.1,9581.40,9827.10,9581.40,758.54K,2.56%
4/23/2014,9827.1,9827.10,9949.90,9765.70,523.47K,0.00%
4/24/2014,9765.7,9765.70,9827.10,9704.30,197.00K,-0.62%
4/25/2014,9704.3,9765.70,9827.10,9704.30,392.40K,-0.63%
4/28/2014,9704.3,9765.70,9765.70,9642.80,188.94K,0.00%
4/29/2014,9704.3,9642.80,9765.70,9642.80,532.64K,0.00%
5/5/2014,9520,9642.80,9765.70,9520.00,583.48K,-1.90%
5/6/2014,9520,9581.40,9581.40,9335.70,1.00M,0.00%
