Date,Price,Open,High,Low,Vol.,Change %
6/3/2014,15615,15308.00,15769.00,15231.00,2.18M,2.01%
6/4/2014,15615,15692.00,15692.00,15308.00,1.32M,0.00%
6/5/2014,15538,15462.00,15615.00,15385.00,872.31K,-0.49%
6/6/2014,15615,15615.00,15692.00,15462.00,1.54M,0.50%
6/9/2014,15538,15462.00,15538.00,15231.00,2.40M,-0.49%
6/10/2014,15538,15538.00,15538.00,15385.00,1.43M,0.00%
6/11/2014,16000,15538.00,16000.00,15462.00,4.34M,2.97%
6/12/2014,15923,16000.00,16154.00,15769.00,2.02M,-0.48%
6/13/2014,15846,15923.00,16000.00,15769.00,1.02M,-0.48%
6/16/2014,16154,16308.00,16538.00,16077.00,6.39M,1.94%
6/17/2014,16154,16231.00,16308.00,16154.00,3.92M,0.00%
6/18/2014,16154,16000.00,16231.00,16000.00,5.45M,0.00%
6/19/2014,16154,16000.00,16231.00,15692.00,5.46M,0.00%
6/20/2014,16538,16154.00,16538.00,16000.00,30.76M,2.38%
6/23/2014,15846,16154.00,16154.00,15846.00,568.98K,-4.18%
6/24/2014,15846,15769.00,16000.00,15615.00,991.74K,0.00%
6/25/2014,15846,15769.00,15923.00,15769.00,877.71K,0.00%
6/26/2014,15923,15846.00,15923.00,15769.00,692.85K,0.49%
6/27/2014,15846,15846.00,16000.00,15846.00,573.57K,-0.48%
6/30/2014,15846,15923.00,15923.00,15846.00,634.11K,0.00%
7/1/2014,15769,15769.00,15846.00,15692.00,563.93K,-0.49%
7/2/2014,15615,15692.00,15769.00,15615.00,471.17K,-0.98%
7/3/2014,15692,15615.00,15769.00,15538.00,682.05K,0.49%
7/4/2014,15692,15769.00,15769.00,15615.00,434.17K,0.00%
7/7/2014,15769,15769.00,15846.00,15692.00,738.73K,0.49%
7/8/2014,15692,15615.00,15769.00,15615.00,312.49K,-0.49%
7/9/2014,15615,15692.00,15692.00,15615.00,220.21K,-0.49%
7/10/2014,15538,15615.00,15615.00,15462.00,519.42K,-0.49%
7/11/2014,15462,15538.00,15538.00,15385.00,386.07K,-0.49%
7/14/2014,15615,15462.00,15615.00,15462.00,285.36K,0.99%
7/15/2014,15615,15615.00,15692.00,15538.00,384.59K,0.00%
7/16/2014,15615,15538.00,15692.00,15538.00,845.83K,0.00%
7/17/2014,15538,15615.00,15615.00,15538.00,316.88K,-0.49%
7/18/2014,15692,15538.00,15769.00,15538.00,1.06M,0.99%
7/21/2014,15615,15692.00,15769.00,15615.00,301.77K,-0.49%
7/22/2014,15538,15692.00,15692.00,15538.00,102.48K,-0.49%
7/23/2014,15462,15538.00,15538.00,15462.00,218.79K,-0.49%
7/24/2014,15615,15462.00,15615.00,15462.00,574.87K,0.99%
7/25/2014,15462,15615.00,15615.00,15462.00,387.23K,-0.98%
7/28/2014,15385,15462.00,15462.00,15154.00,280.44K,-0.50%
7/29/2014,15308,15154.00,15385.00,15077.00,474.86K,-0.50%
7/30/2014,15077,15154.00,15231.00,15077.00,180.35K,-1.51%
7/31/2014,15154,15000.00,15154.00,15000.00,225.21K,0.51%
8/1/2014,15077,15154.00,15154.00,14923.00,209.78K,-0.51%
8/4/2014,15000,14846.00,15000.00,14769.00,104.72K,-0.51%
8/5/2014,15000,14923.00,15000.00,14846.00,737.39K,0.00%
8/6/2014,15000,15000.00,15077.00,14923.00,269.46K,0.00%
8/7/2014,15000,14846.00,15000.00,14769.00,406.30K,0.00%
8/8/2014,14846,15000.00,15000.00,14692.00,297.36K,-1.03%
8/11/2014,14692,14692.00,14769.00,14615.00,586.94K,-1.04%
8/12/2014,14538,14615.00,14769.00,14538.00,357.28K,-1.05%
8/13/2014,14692,14538.00,14692.00,14538.00,147.76K,1.06%
8/14/2014,14923,14692.00,14923.00,14615.00,672.48K,1.57%
8/15/2014,14769,14923.00,14923.00,14692.00,54.56K,-1.03%
8/18/2014,14769,14692.00,14769.00,14615.00,159.50K,0.00%
8/19/2014,14769,14769.00,14923.00,14692.00,205.47K,0.00%
8/20/2014,14692,14615.00,14769.00,14615.00,76.56K,-0.52%
8/21/2014,14692,14692.00,14769.00,14615.00,228.02K,0.00%
8/22/2014,14615,14692.00,14769.00,14615.00,368.42K,-0.52%
8/25/2014,14769,14846.00,14846.00,14615.00,382.47K,1.05%
8/26/2014,14538,14692.00,14692.00,14385.00,784.89K,-1.56%
8/27/2014,14462,14538.00,14615.00,14462.00,316.73K,-0.52%
8/28/2014,14615,14462.00,14615.00,14462.00,191.75K,1.06%
8/29/2014,14923,14692.00,14923.00,14692.00,869.64K,2.11%
9/3/2014,15000,15000.00,15154.00,14923.00,528.27K,0.52%
9/4/2014,15000,14846.00,15077.00,14846.00,370.86K,0.00%
9/5/2014,15077,15000.00,15154.00,14923.00,696.74K,0.51%
9/8/2014,15154,15077.00,15154.00,15000.00,639.46K,0.51%
9/9/2014,15077,15154.00,15231.00,15000.00,746.76K,-0.51%
9/10/2014,15385,15000.00,15615.00,14923.00,765.56K,2.04%
9/11/2014,15231,15308.00,15385.00,15154.00,351.43K,-1.00%
9/12/2014,15154,15231.00,15231.00,15000.00,452.93K,-0.51%
9/15/2014,15000,15077.00,15154.00,15000.00,239.53K,-1.02%
9/16/2014,14769,14923.00,14923.00,14692.00,284.67K,-1.54%
9/17/2014,14615,14769.00,14769.00,14615.00,341.33K,-1.04%
9/18/2014,14692,14615.00,14769.00,14538.00,291.97K,0.53%
